url,md_status,html_status,word_count,md_h1,html_title,html_h1,meta_description,is_api,has_warning,has_code_fence,mentions,placeholders
https://docs.oviond.com/account/delete,200,200,196,Delete Account,Delete Account - Oviond,Delete Account,Permanently delete your Oviond account and all associated data.,False,True,False,,
https://docs.oviond.com/account/overview,200,200,684,Account,Account - Oviond,Account,"Your Oviond account — the agency workspace that holds every client, project, and team member.",False,True,False,,
https://docs.oviond.com/account/usage,200,200,173,Usage,Usage - Oviond,Usage,See what your agency has used against your plan's limits.,False,False,False,,
https://docs.oviond.com/activity-log/overview,200,200,102,Activity Log,Activity Log - Oviond,Activity Log,Audit every meaningful action taken in your account.,False,False,False,resource_id; resource_type; user_id,
https://docs.oviond.com/agency/add,200,200,161,Add Project,Add Project - Oviond,Add Project,Create an account-level agency report or dashboard.,False,False,False,,
https://docs.oviond.com/agency/archive,200,200,168,Archive Project,Archive Project - Oviond,Archive Project,Soft-delete an agency report with full restore within the retention window.,False,False,False,,
https://docs.oviond.com/agency/bulk-delete,200,200,126,Bulk Delete,Bulk Delete - Oviond,Bulk Delete,Remove multiple agency reports at once.,False,True,False,,
https://docs.oviond.com/agency/duplicate,200,200,161,Duplicate Project,Duplicate Project - Oviond,Duplicate Project,"Copy an agency report — pages, widgets, and settings — under a new name.",False,False,False,,
https://docs.oviond.com/agency/list,200,200,133,List Projects,List Projects - Oviond,List Projects,Browse every account-level agency report.,False,False,False,,
https://docs.oviond.com/agency/pages,200,200,198,Pages,Pages - Oviond,Pages,Organize an agency report into tabs — one page per section.,False,False,False,,
https://docs.oviond.com/agency/share,200,200,199,Share Project,Share Project - Oviond,Share Project,Publish an agency report via a shareable public link.,False,True,False,,
https://docs.oviond.com/agency/update,200,200,137,Update Project,Update Project - Oviond,Update Project,Rename and configure settings on an agency report.,False,False,False,,
https://docs.oviond.com/agency/widgets,200,200,374,Widgets,Widgets - Oviond,Widgets,"Charts, KPI tiles, tables, and text blocks that populate every page of an agency report.",False,True,False,,
https://docs.oviond.com/api-keys/add,200,200,156,Add API Key,Add API Key - Oviond,Add API Key,Generate a new API key to authenticate REST API calls.,True,True,False,,
https://docs.oviond.com/api-keys/delete,200,200,105,Delete API Key,Delete API Key - Oviond,Delete API Key,Permanently remove an API key from the list.,True,True,False,,
https://docs.oviond.com/api-keys/list,200,200,281,List API Keys,List API Keys - Oviond,List API Keys,Every API key issued for your Oviond account.,True,True,True,,
https://docs.oviond.com/api-keys/revoke,200,200,143,Revoke API Key,Revoke API Key - Oviond,Revoke API Key,Immediately disable an API key without deleting its audit record.,True,False,False,,
https://docs.oviond.com/api/account/delete-account,200,200,66,Delete Account,Delete Account - Oviond,Delete Account,"Irreversible. Cancels the active Stripe subscription, deletes all data across every table for this account, removes all team members from the users table, purges all S3 media files, and deletes all Supabase Auth users. Requires the account owner's current password as a confirmation gate.",True,False,True,S3; Stripe; Supabase; users table,
https://docs.oviond.com/api/account/get-account,200,200,30,Get Account,Get Account - Oviond,Get Account,Get the accounts row for the current account,True,False,True,accounts row,
https://docs.oviond.com/api/account/get-account-usage,200,200,30,Get Account Usage,Get Account Usage - Oviond,Get Account Usage,Get account usage statistics vs plan limits,True,False,True,,
https://docs.oviond.com/api/activity/list-activity,200,200,29,List Activity,List Activity - Oviond,List Activity,List activity logs for the current account,True,False,True,resource_type,
https://docs.oviond.com/api/archive/delete-permanently,200,200,26,Delete Permanently,Delete Permanently - Oviond,Delete Permanently,Permanently delete archived items,True,False,True,,
https://docs.oviond.com/api/archive/get-archive-counts,200,200,28,Get Archive Counts,Get Archive Counts - Oviond,Get Archive Counts,Archived item counts per type,True,False,True,,
https://docs.oviond.com/api/archive/list-archive,200,200,26,List Archive,List Archive - Oviond,List Archive,List archived items (paginated),True,False,True,,
https://docs.oviond.com/api/archive/restore-items,200,200,26,Restore Items,Restore Items - Oviond,Restore Items,Restore soft-deleted items,True,False,True,,
https://docs.oviond.com/api/assets/create-asset,200,200,26,Create Asset,Create Asset - Oviond,Create Asset,Create a new asset,True,False,True,,
https://docs.oviond.com/api/assets/delete-asset,200,200,25,Delete Asset,Delete Asset - Oviond,Delete Asset,Delete an asset,True,False,True,,
https://docs.oviond.com/api/assets/duplicate-asset,200,200,29,Duplicate Asset,Duplicate Asset - Oviond,Duplicate Asset,Duplicate an asset with a new name,True,False,True,,
https://docs.oviond.com/api/assets/get-asset,200,200,28,Get Asset,Get Asset - Oviond,Get Asset,Get a single asset by ID,True,False,True,,
https://docs.oviond.com/api/assets/list-asset-tags,200,200,33,List Asset Tags,List Asset Tags - Oviond,List Asset Tags,List all unique tags across assets for the current account,True,False,True,,
https://docs.oviond.com/api/assets/list-asset-widgets,200,200,31,List Asset Widgets,List Asset Widgets - Oviond,List Asset Widgets,List the widgets that belong to an asset,True,False,True,,
https://docs.oviond.com/api/assets/list-assets,200,200,28,List Assets,List Assets - Oviond,List Assets,List assets for the current account,True,False,True,,
https://docs.oviond.com/api/assets/update-asset,200,200,25,Update Asset,Update Asset - Oviond,Update Asset,Update an asset,True,False,True,,
https://docs.oviond.com/api/automations/bulk-delete-automations,200,200,34,Bulk Delete Automations,Bulk Delete Automations - Oviond,Bulk Delete Automations,Soft-delete multiple automations and remove them from the cron scheduler,True,False,True,cron scheduler,
https://docs.oviond.com/api/automations/create-automation,200,200,29,Create Automation,Create Automation - Oviond,Create Automation,Create a new automation for a project,True,False,True,,
