path,status,title,word_count,h1_count,h2_count,summary,bytes,elapsed_ms
/authentication,200,Authentication,303,1,5,## Documentation Index,2763,448
/introduction,200,Introduction,226,1,1,## Documentation Index,2387,92
/quickstart,200,Get Started,368,1,1,## Documentation Index,3269,424
/account/delete,200,Delete Account,194,1,2,## Documentation Index,1664,505
/account/overview,200,Account,671,1,5,## Documentation Index,5836,236
/account/usage,200,Usage,169,1,2,## Documentation Index,1575,323
/activity-log/overview,200,Activity Log,97,1,0,## Documentation Index,711,399
/agency/add,200,Add Project,153,1,1,## Documentation Index,1437,457
/agency/archive,200,Archive Project,161,1,3,## Documentation Index,1251,356
/agency/bulk-delete,200,Bulk Delete,122,1,0,## Documentation Index,1083,423
/agency/duplicate,200,Duplicate Project,145,1,0,## Documentation Index,1247,382
/agency/list,200,List Projects,128,1,3,## Documentation Index,1171,396
/agency/pages,200,Pages,187,1,3,## Documentation Index,1404,370
/agency/share,200,Share Project,188,1,2,## Documentation Index,1572,323
/agency/update,200,Update Project,129,1,0,## Documentation Index,1232,382
/agency/widgets,200,Widgets,341,1,6,## Documentation Index,3333,394
/api-keys/add,200,Add API Key,144,1,0,## Documentation Index,1240,396
/api-keys/delete,200,Delete API Key,100,1,0,## Documentation Index,870,327
/api-keys/list,200,List API Keys,272,1,4,## Documentation Index,2163,378
/api-keys/revoke,200,Revoke API Key,135,1,1,## Documentation Index,1334,381
/api/introduction,200,Overview,166,1,5,## Documentation Index,1783,310
/api/openapi.json,200,,13166,0,0,"""title"": ""Oviond Backend API"",",286841,700
/archive/delete,200,Permanently Delete,155,1,1,## Documentation Index,1297,360
/archive/restore,200,Restore,190,1,2,## Documentation Index,1544,421
/archive/view,200,View Archive,97,1,0,## Documentation Index,740,448
/automations/add,200,Add Automation,151,1,0,## Documentation Index,1468,354
/automations/delete,200,Delete Automation,122,1,1,## Documentation Index,1106,330
/automations/email,200,Email Delivery,293,1,3,## Documentation Index,2536,498
/automations/history,200,Run History,165,1,3,## Documentation Index,1546,350
/automations/list,200,List Automations,166,1,3,## Documentation Index,1592,401
/automations/pdf,200,PDF Export,246,1,4,## Documentation Index,2059,360
/automations/scheduled,200,Scheduled Delivery,286,1,4,## Documentation Index,2294,392
/automations/test,200,Test Automation,151,1,0,## Documentation Index,1281,364
/billing/invoices,200,Invoices,149,1,2,## Documentation Index,1243,353
/billing/plans,200,Plans,234,1,3,## Documentation Index,2069,361
/billing/subscription,200,Subscription,229,1,4,## Documentation Index,1849,401
/changelog/2026-04,200,April 2026,759,1,0,## Documentation Index,6881,396
/clients/add,200,Create a Client,181,1,0,## Documentation Index,1542,352
/clients/archive,200,Archive Client,162,1,3,## Documentation Index,1344,396
/clients/bulk-delete,200,Bulk Delete,187,1,1,## Documentation Index,1477,323
/clients/folders,200,Group Clients,186,1,3,## Documentation Index,1512,387
/clients/list,200,List Clients,212,1,3,## Documentation Index,2061,358
/company/branding,200,Customize Report Branding and Appearance,765,1,7,## Documentation Index,6860,403
/company/overview,200,Company,98,1,0,## Documentation Index,782,370
/custom-data/delete,200,Delete Custom Data,124,1,1,## Documentation Index,1055,345
/custom-data/duplicate,200,Duplicate Custom Data,125,1,0,## Documentation Index,1133,318
/custom-data/list,200,List Custom Data,140,1,3,## Documentation Index,1242,349
/custom-data/update,200,Update Custom Data,146,1,1,## Documentation Index,1193,494
/custom-data/upload,200,Upload Custom Data,193,1,2,## Documentation Index,1559,342
/custom-domains/add,200,Add Domain,165,1,1,## Documentation Index,1457,338
/custom-domains/delete,200,Delete Domain,115,1,0,## Documentation Index,1039,427
/custom-domains/list,200,List Domains,689,1,6,## Documentation Index,6253,363
/custom-domains/verify,200,Verify Domain,173,1,3,## Documentation Index,1690,415
/data-sources/connect,200,Connect,869,1,5,## Documentation Index,7103,367
/data-sources/delete,200,Delete Data Source,139,1,0,## Documentation Index,1223,393
/data-sources/link,200,Link to Client,154,1,1,## Documentation Index,1377,374
/data-sources/list,200,List Data Sources,634,1,6,## Documentation Index,5315,436
/data-sources/metrics,200,Metrics,985,1,3,## Documentation Index,7784,443
/data-sources/profiles,200,Profiles,180,1,2,## Documentation Index,1459,321
/data-sources/test,200,Test Connection,159,1,1,## Documentation Index,1333,366
/email-settings/defaults,200,Defaults,148,1,1,## Documentation Index,1502,410
/email-settings/domains,200,Email Domains,155,1,3,## Documentation Index,1612,353
/email-settings/logs,200,Email Logs,181,1,4,## Documentation Index,1841,324
/email-settings/senders,200,Senders,142,1,2,## Documentation Index,1327,372
/email-settings/smtp,200,SMTP,187,1,3,## Documentation Index,1660,398
/guides/connect-ga4,200,Connect Google Analytics 4,390,1,7,## Documentation Index,3547,374
/guides/first-report,200,Build Your First Report,352,1,8,## Documentation Index,3007,367
/guides/monthly-report,200,Monthly Client Report,403,1,7,## Documentation Index,3752,384
/guides/overview,200,Overview,149,1,2,## Documentation Index,1459,362
/mcp/auth,200,Authentication,286,1,4,## Documentation Index,2135,367
/mcp/connect,200,Connect,212,1,4,## Documentation Index,2061,369
/mcp/overview,200,Overview,248,1,3,## Documentation Index,1888,383
/mcp/tools,200,Available Tools,296,1,3,## Documentation Index,3202,370
/media/bulk-delete,200,Bulk Delete,173,1,1,## Documentation Index,1387,351
/media/delete,200,Delete Media,151,1,2,## Documentation Index,1233,384
/media/folders,200,Folders,183,1,4,## Documentation Index,1529,443
/media/list,200,List Media,174,1,3,## Documentation Index,1577,351
/media/update,200,Rename Media,134,1,2,## Documentation Index,1100,395
