domain,url,category,path_depth,strategic_score,lastmod,sitemap
databox.com,https://databox.com/,other,0,2,2026-03-20T14:12:42+00:00,https://databox.com/page-sitemap.xml
databox.com,https://databox.com/about,other,1,2,2026-03-20T14:17:40+00:00,https://databox.com/page-sitemap.xml
databox.com,https://databox.com/advanced-analytics,other,1,3,2025-05-12T12:39:16+00:00,https://databox.com/page-sitemap.xml
databox.com,https://databox.com/advanced-analytics-launch-2025,other,1,3,2025-05-07T14:54:26+00:00,https://databox.com/page-sitemap.xml
databox.com,https://databox.com/affiliate-program,other,1,2,2026-03-19T13:49:33+00:00,https://databox.com/page-sitemap.xml
databox.com,https://databox.com/affiliate-program-policy,other,1,2,2026-01-16T10:07:45+00:00,https://databox.com/page-sitemap.xml
databox.com,https://databox.com/affiliate-program-policy-2024,other,1,2,2024-02-20T19:11:20+00:00,https://databox.com/page-sitemap.xml
databox.com,https://databox.com/agencies,other,1,2,2024-02-20T13:33:23+00:00,https://databox.com/page-sitemap.xml
databox.com,https://databox.com/agency-onboarding,agency/white-label,1,10,2024-02-20T20:48:24+00:00,https://databox.com/page-sitemap.xml
databox.com,https://databox.com/agencyanalytics-alternative,alternative/comparison,1,14,2025-09-17T07:48:21+00:00,https://databox.com/page-sitemap.xml
databox.com,https://databox.com/ai,other,1,3,2026-03-19T16:06:41+00:00,https://databox.com/page-sitemap.xml
databox.com,https://databox.com/ai-analyst,other,1,3,2026-03-19T16:03:13+00:00,https://databox.com/page-sitemap.xml
databox.com,https://databox.com/ai-architecture,other,1,3,2026-04-03T19:16:41+00:00,https://databox.com/page-sitemap.xml
databox.com,https://databox.com/ai-seo-new-rules-get-found-chatgpt-ai-search,other,1,5,2025-12-04T11:25:10+00:00,https://databox.com/page-sitemap.xml
databox.com,https://databox.com/analytics-performance-tools,other,1,3,2024-05-10T20:42:58+00:00,https://databox.com/page-sitemap.xml
databox.com,https://databox.com/analytics-software/agencies,other,2,3,2026-04-17T10:55:37+00:00,https://databox.com/analytics-software-sitemap.xml
databox.com,https://databox.com/analytics-software/automated-reporting,other,2,8,2026-05-11T09:21:31+00:00,https://databox.com/analytics-software-sitemap.xml
databox.com,https://databox.com/analytics-software/business,other,2,3,2026-05-11T08:27:36+00:00,https://databox.com/analytics-software-sitemap.xml
databox.com,https://databox.com/analytics-software/data-visualization,other,2,3,2026-05-11T09:23:07+00:00,https://databox.com/analytics-software-sitemap.xml
databox.com,https://databox.com/analytics-software/decisions,other,2,3,2026-05-11T09:19:58+00:00,https://databox.com/analytics-software-sitemap.xml
databox.com,https://databox.com/analytics-software/ecommerce,other,2,3,2025-09-16T19:34:15+00:00,https://databox.com/analytics-software-sitemap.xml
databox.com,https://databox.com/analytics-software/facebook-ads,other,2,5,2025-08-11T09:56:33+00:00,https://databox.com/analytics-software-sitemap.xml
databox.com,https://databox.com/analytics-software/google-ads,other,2,5,2025-08-11T09:55:31+00:00,https://databox.com/analytics-software-sitemap.xml
databox.com,https://databox.com/analytics-software/google-analytics-4,other,2,4,2025-08-11T09:56:04+00:00,https://databox.com/analytics-software-sitemap.xml
databox.com,https://databox.com/analytics-software/instagram,other,2,4,2025-08-11T09:56:40+00:00,https://databox.com/analytics-software-sitemap.xml
databox.com,https://databox.com/analytics-software/linkedin,other,2,4,2025-08-11T09:56:19+00:00,https://databox.com/analytics-software-sitemap.xml
databox.com,https://databox.com/analytics-software/marketing,other,2,4,2026-05-11T08:26:02+00:00,https://databox.com/analytics-software-sitemap.xml
databox.com,https://databox.com/analytics-software/saas,other,2,3,2026-04-17T10:54:28+00:00,https://databox.com/analytics-software-sitemap.xml
databox.com,https://databox.com/analytics-software/sales,other,2,3,2026-05-11T08:30:05+00:00,https://databox.com/analytics-software-sitemap.xml
